Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint02_testSuite02,Firefox 66.0,,2019-04-15 15:27:22,2019-04-15 15:27:55,32.623s,PASSED
,,,,,,
Test Cases/Login_Portal,Firefox 66.0,,2019-04-15 15:27:23,2019-04-15 15:27:43,20.057s,PASSED
"openBrowser("""")",Firefox 66.0,,2019-04-15 15:27:23,2019-04-15 15:27:37,14.053s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Firefox 66.0,,2019-04-15 15:27:37,2019-04-15 15:27:42,4.901s,PASSED
maximizeWindow(),Firefox 66.0,,2019-04-15 15:27:42,2019-04-15 15:27:42,0.022s,PASSED
"waitForElementVisible(findTestObject(""MakeanOpp123""), 20)",Firefox 66.0,,2019-04-15 15:27:42,2019-04-15 15:27:42,0.131s,PASSED
"click(findTestObject(""MakeanOpp123""))",Firefox 66.0,,2019-04-15 15:27:42,2019-04-15 15:27:43,0.579s,PASSED
,,,,,,
Test Cases/Login as Admin,Firefox 66.0,,2019-04-15 15:27:43,2019-04-15 15:27:45,2.807s,PASSED
"waitForElementPresent(findTestObject(""Page_CURA Healthcare Service/username""), 5)",Firefox 66.0,,2019-04-15 15:27:43,2019-04-15 15:27:43,0.058s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/username""), findTestData(""21cv/21cvtestdata"").getValue(1, 1))",Firefox 66.0,,2019-04-15 15:27:43,2019-04-15 15:27:44,1.346s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), 5)",Firefox 66.0,,2019-04-15 15:27:44,2019-04-15 15:27:44,0.028s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/pswd""), findTestData(""21cv/21cvtestdata"").getValue(2, 1))",Firefox 66.0,,2019-04-15 15:27:44,2019-04-15 15:27:45,0.199s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Login_btn""))",Firefox 66.0,,2019-04-15 15:27:45,2019-04-15 15:27:45,0.875s,PASSED
,,,,,,
Test Cases/Booking Appoinment,Firefox 66.0,,2019-04-15 15:27:45,2019-04-15 15:27:51,5.181s,PASSED
"waitForElementPresent(findTestObject(""Make an appoinment/Checkbox""), 10)",Firefox 66.0,,2019-04-15 15:27:46,2019-04-15 15:27:46,0.023s,PASSED
"click(findTestObject(""Make an appoinment/Checkbox""))",Firefox 66.0,,2019-04-15 15:27:46,2019-04-15 15:27:46,0.296s,PASSED
"setText(findTestObject(""Object Repository/Make an appoinment/Comment textbox""), ""Confirmed booking on sunday"")",Firefox 66.0,,2019-04-15 15:27:46,2019-04-15 15:27:46,0.243s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Calander Icon""))",Firefox 66.0,,2019-04-15 15:27:46,2019-04-15 15:27:47,0.372s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Make an appoinment/DateSelector""), 10)",Firefox 66.0,,2019-04-15 15:27:47,2019-04-15 15:27:47,0.047s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/DateSelector""))",Firefox 66.0,,2019-04-15 15:27:47,2019-04-15 15:27:47,0.300s,PASSED
delay(3),Firefox 66.0,,2019-04-15 15:27:47,2019-04-15 15:27:50,3.065s,PASSED
"click(findTestObject(""Object Repository/Make an appoinment/Booking""))",Firefox 66.0,,2019-04-15 15:27:50,2019-04-15 15:27:51,0.475s,PASSED
